Index,Description,Label
555.0,নাস্তিক কে জুতা পিঠা দেওয়া লাগবে,Threat
556.0,তরে জুতা মারা উচিত নাস্তকের বাচ্চা,Threat
557.0,আরে মালাউন এর জাত তদের কে দিয়ে তদের মাতা জংগি হাসিনা ট্রাম খেলতাছে আর সেই ট্রামে কাট হইলি তরা এখন ও কি তদেত বুঝে আসেনা মালাউন তদের কে বলির পাঠা বানাইছে তরা হইলি বলির পাঠা মালাউন তদের এই পরিস্থিতির কিছু বর মালাউন জরিত তদের কে দিয়ে বর মালাউন রা ফয়দা তুলছে মাঝ খানে ছোট মালাউন রা হইল বলির পাঠা,Threat
558.0,তোর বইনরে হাতির কান্ধে ফালায়া চুদুম,Threat
559.0,রাষ্ট্রের বিরুদ্ধে রাষ্ট্রদ্রোহির শাস্তি দেওয়া দরকার!,Threat
560.0,"আজ'ই ডির্ভোস দিবো তুমাকে, আগেই না বলছিলাম এইসব পোষ্ট না করতে, অনেক রিকুয়েষ্ট করছো, তারপর ও রাজি হয়েছিলাম, কিসের লিংক শুধু খালি তাই, কিন্তু এইসব কিছুর জন্য রাজি হইছিলাম নাকি? তাও আবার দেখাইতেছো!",Threat
562.0,জুতা পিটা কর সালাদের। না পারলে আমার কাছে দে,Threat
563.0,ভারতকে ধবংস করে দাও। তাদের কে মা কালী সর্গে যেতে ডাকছে। তাড়াতাড়ি পাটিয়ে দাও।,Threat
564.0,তর বাপের পুটকির ফুটা দিয়া কাডল ঢুকামু,Threat
565.0,Fuck off you murdering scum!!!,Threat
590.0,ভারতের মানচিত্র মাটির সাথে মিশিয়ে দাও,Threat
611.0,RT @mshaysoul: Will @YesYoureSexist ever post something positive I say about women? Or just the negative things? Spreading just hate or no?,Threat
963.0,আগুনে পুরবি রেডি থাকো,Threat
964.0,বিএনপি বাবু আর লতা মুই তো লাফাইসনা সামনে আয় মা বেঙ্গে ভাত ধরিয়ে দিবো,Threat
965.0,তরে যদি পাইতাম তরে বাইগন দিয়ে সুদাতাম,Threat
966.0,বলার কিছু নাই ওরে খোন কর,Threat
1008.0,"ফাসি দেওয়া হক। এইটাই বিচার,,,,,,,,,,,, ",Threat
1091.0,এই কুত্তাকে প্রকাশ্যে জবাই করতে হবে জবাইর বদলে জবাই।,Threat
1113.0,এই কুত্তাকে প্রকাশ্যে জবাই করতে হবে জবাইর বদলে জবাই।,Threat
1116.0,তোমাদের ধ্বংস করে দেয়ার জন্য যথেষ্ট ... এই নিয়েই আমরা আবার আসবো !! বিশ্বকাপ ক্রিকেট ২০১৯,Threat
1154.0,এই বোকাচোদা...এই কথা বলেছে? তুই কথা বদলে বলিস কেনো? বোকাচোদা!,Threat
1169.0,মাদার চোদের গুলি করে মারো,Threat
1177.0,রাত দুপুরে বৌয়ের ফোনে কে মারে মিস কল? কে তুই ফাজিল মিস কল দিস লজ্জা শরম নাই? পিটিয়ে ঠ্যাং ভাঙবো যদি হাতের কাছে পাই। (((ম হামিদুল ইসলাম,Threat
1319.0,আবার নাইও। চান্দু- তাহলে কি বাঁশ গুলোতোর পিছনে একবার ঢুকাস,Threat
1334.0,ফাসিঁ হোক ফাসিঁ হোক,Threat
1335.0,ওই ফালতু ছেমরি গুলারা সামনে পাইলে থাপরাইয়া দাত ফালাইয়া দিতাম,Threat
1507.0,বিষ পুডিয়ে মরতে হবে তোকে,Threat
1586.0,"the lox ""f**k you "" ""keep it thoro"" prodigy  ""we run this"" fat joe  ""i come thru"" styles and nore  ""broken language"" smooth",Threat
1616.0,"Hi! I am back again!
Last warning!
Stop undoing my edits or die!",Threat
1619.0,"Stop harassing me! I hope that you get blocked! 

Stop harassing me! I hope that you get blocked!",Threat
1625.0,"You are the troll, anti-Semite. 

All anti-Semites should die.",Threat
1631.0,"Yep, just keep talking.  Go to hell.",Threat
1632.0,"ARC Gritt, the fucking cunt of all cunts, ruined me by saying I vandalised 2009 Formula One season. What a cunt.",Threat
1662.0,"i will ki 

ll you and wear your skin like a robe!",Threat
1664.0,"You Hurt My Feelings For The Last Time, Gladys!!!!!!! Try THAT One More Time I Will Hunt You Down And Murder You!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

P.S. I Mean It!!!!!!!!!!!!!!!!!!!!!!!!!",Threat
1665.0,"Fuck off and rape your kids, Fenian bogtrotting shit. I hope the ones you love die in a cock accident.

 Trepens Epichal 

Hello, fat, ugly, lonely, smelly little boy. Only here can you conceit yourself human. Isn't that right, chum? Only here can you pretend you're liked, pretend you mean something, pretend you have some value in the eyes of the world, when really...you're a nothing. I am very disappointed.",Threat
1736.0,"Hey you, motherfucker...i want to murder you",Threat
1741.0,murder this man.i order that,Threat
1749.0,ওদের হোগায় বরিশাল এর আছোলা বাশ দেয়া হোক,Threat
1805.0,ওদের হোগায় বরিশাল এর আছোলা বাশ দেয়া হোক,Threat
1821.0,জুতা মার ওর গালে ফকিরের বাচ্চা,Threat
1828.0,আমরা যদি অমন হতাম না তাহলে আপনাদের মত মুসলিম মেয়েরা রেপ হয়ে গাছের ডালে ঝুলে থাকত,Threat
1893.0,এইসব জানোয়ারের বাচ্চাকে ফাসি দিয়ে মারা উচিত,Threat
1898.0,RT @ahtweet: @freebsdgirl How dare you have feelings is a fantastic way to dehumanize someone.,Threat
1922.0,খুনি  কে ধরে ক্রোসফ্যায়ার করে মারা হউক,Threat
,Bnp are not power to the election ,Political
,kimjonun is a dangerous person ,Political
, the tourists suck worse,Political
,how lame the politicals are,Political
,Lets talk abou the rubbish team ,Political
,Students League are fuck of,Political
,Election is not to fair,Political
,"Political criticism, also referred to as political commentary",Political
,the level of threat has a greater impact than regime type on the likelihood of political repression,Political
,Dol tak urai dibo ekdom,Political
,"Like seriously  political criticism, also referred to as political commentary",Political
,Younger elected representatives are the most victimised,Political
,As I  don't support for political violence appears to be on the rise in the US,Political
,The apparent increase in threats against public servants,Political
,How lame the chatra league are,Political
,There are simply no place for political violence,Political
,Younger elected representatives are the most victimised,Political
,As I  don't support for political violence appears to be on the rise in the US,Political
,Mother fucker Vua netri,Political
,Cross FIR kora dorkar,Political
,Police can arrest the person who committed the crime.,Political
,This person can be charged with a crime and face trial.,Political
,If they are found guilty or plead guilty then they will receive a punishment. This might include a prison sentence.,Political
,Not fair elections ,Political
,Civil war broke out throughout all of Israel,Political
,"In what started as a surprise attack, Israel in 1967 defeated Egypt",Political
,Hoping to catch the Israeli army off guard,Political
,"The fighting went on for two weeks, until the UN adopted a resolution to stop the war",Political
,Palestinians launched suicide bombs,Political
,Israel went to war with Hezbollah,Political
,Thinkers are leaders and true leaders are thinkers.,Political
,Nations are built overtime. Civilizations are destroyed overnight.,Political
,The world has nothing to offer you if you don’t already have it inside of yourself.,Political
,A right minority is superior to a wrong majority.,Political
,"If you can lead a pack of wolves, it does not mean you can lead a pride of lions.",Political
,"In a crowd do not lose your individuality, and in your individuality do not lose the crowd.",Political
,"Money makes the world go round, but greed turns it upside down.",Political
,Civil war broke out throughout all of Israel,Political
,"In what started as a surprise attack, Israel in 1967 defeated Egypt",Political
,Hoping to catch the Israeli army off guard,Political
,"The fighting went on for two weeks, until the UN adopted a resolution to stop the war",Political
,Palestinians launched suicide bombs,Political
,Civil war broke out throughout all of Israel,Political
,"In what started as a surprise attack, Israel in 1967 defeated Egypt",Political
,Hoping to catch the Israeli army off guard,Political
,"The fighting went on for two weeks, until the UN adopted a resolution to stop the war",Political
,Palestinians launched suicide bombs,Political
,Bnp are not power to the election ,Political
,kimjonun is a dangerous person ,Political
, the tourists suck worse,Political
,"The government's mishandling of the economy has left many people struggling to make ends meet.""",Political
,"""Political corruption continues to erode trust in our elected officials.""",Political
,"""The administration's foreign policy decisions have strained relations with our allies.""",Political
,"""The opposition party's divisive rhetoric only serves to further polarize the nation.""",Political
,"""The lack of transparency in government actions raises concerns about accountability.""",Political
,"""Campaign promises are often empty words used to secure votes, with little follow-through.""",Political
,"""Voter suppression tactics undermine the principles of democracy.""",Political
,"""The current administration's disregard for environmental regulations puts our planet at risk.""",Political
,"""The legislative gridlock in Congress hinders progress on crucial issues.""",Political
,"""Political infighting within the party has weakened its ability to govern effectively.""",Political
,"The rampant nepotism in government appointments undermines meritocracy.""",Political
,"""The increasing polarization in political discourse stifles constructive debate.""",Political
,"""Election interference poses a serious threat to the integrity of our democratic process.""",Political
,"""Government surveillance programs infringe on citizens' privacy rights.""",Political
,"""The excessive influence of money in politics skews policy decisions in favor of the wealthy elite.""",Political
,"""Political gerrymandering distorts the representation of voters' interests.""",Political
,"""The slow response to addressing pressing social issues highlights political inertia.""",Political
,"""The rise of extremist ideologies within political parties fosters division and extremism.""",Political
,"""Foreign meddling in domestic politics sows discord and instability.""",Political
,"""Lack of investment in education and healthcare reveals misplaced priorities in government spending.""",Political
,"The government's failure to address income inequality exacerbates social unrest.""",Political
,"""Political scandals have become an all-too-common feature of our political landscape.""",Political
,"""Partisan politics often take precedence over the needs of the people.""",Political
,"""The erosion of civil liberties in the name of national security is a concerning trend.""",Political
,"""Government censorship of the media threatens freedom of the press.""",Political
,"""The lack of accountability for police misconduct undermines trust in law enforcement.""",Political
,"""Special interest groups wield disproportionate influence over policymaking.""",Political
,"""Political leaders' short-term focus on re-election hampers long-term planning.""",Political
,"""The erosion of democratic norms and institutions is a grave concern.""",Political
,"""The failure to address systemic racism perpetuates injustice in our society.""",Political
,"The government's failure to address income inequality exacerbates social unrest.""",Political
,"""Political scandals have become an all-too-common feature of our political landscape.""",Political
,"""Partisan politics often take precedence over the needs of the people.""",Political
,"""The erosion of civil liberties in the name of national security is a concerning trend.""",Political
,"""Government censorship of the media threatens freedom of the press.""",Political
,"""The lack of accountability for police misconduct undermines trust in law enforcement.""",Political
,"""Special interest groups wield disproportionate influence over policymaking.""",Political
,"""Political leaders' short-term focus on re-election hampers long-term planning.""",Political
,"""The erosion of democratic norms and institutions is a grave concern.""",Political
,"""The failure to address systemic racism perpetuates injustice in our society.""",Political
,"The government's failure to address income inequality exacerbates social unrest.""",Political
,"""Political scandals have become an all-too-common feature of our political landscape.""",Political
,"""Partisan politics often take precedence over the needs of the people.""",Political
,"""The erosion of civil liberties in the name of national security is a concerning trend.""",Political
,"""Government censorship of the media threatens freedom of the press.""",Political
,"""The lack of accountability for police misconduct undermines trust in law enforcement.""",Political
,"""Special interest groups wield disproportionate influence over policymaking.""",Political
,"""Political leaders' short-term focus on re-election hampers long-term planning.""",Political
,"""The erosion of democratic norms and institutions is a grave concern.""",Political
,"""The failure to address systemic racism perpetuates injustice in our society.""",Political
,"""The government's mismanagement of the healthcare system has left many without access to necessary medical care.""",Political
,"""Political polarization has reached a point where compromise and cooperation seem impossible.""",Political
,"""Economic policies favoring the wealthy few have widened the income gap to alarming levels.""",Political
,"""The erosion of trust in democratic institutions threatens the very foundation of our society.""",Political
,"""Government surveillance programs have a chilling effect on freedom of expression.""",Political
,"""The lack of transparency in campaign financing allows for the undue influence of wealthy donors.""",Political
,"""Political leaders often resort to fear-mongering tactics to gain support.""",Political
,"""The politicization of the judiciary undermines the impartiality of the legal system.""",Political
,"""Foreign interference in elections undermines the sovereignty of nations.""",Political
,"""The inability to pass meaningful gun control legislation contributes to the ongoing gun violence epidemic.""",Political
,"Government shutdowns due to political gridlock disrupt the lives of ordinary citizens.""",Political
,"""Political favoritism in awarding government contracts breeds corruption.""",Political
,"""The use of propaganda and disinformation undermines public trust in the media and institutions.""",Political
,"""The lack of comprehensive immigration reform perpetuates a broken immigration system.""",Political
,"""The exploitation of divisive social issues for political gain further divides the nation.""",Political
,"""The failure to address systemic flaws in the criminal justice system perpetuates injustice.""",Political
,"""Political cronyism results in unqualified individuals holding key government positions.""",Political
,"""The lack of a coherent and effective response to public health crises endangers lives.""",Political
,"""International trade disputes driven by political agendas harm global economies.""",Political
,"""The erosion of civil rights in the name of national security sets a dangerous precedent",Political
,"The persistent and growing influence of lobbying groups distorts democratic decision-making.""",Political
,"""Campaigns marred by mudslinging and character assassination diminish the integrity of the electoral process.""",Political
,"""Political leaders often exploit fear and division to maintain their hold on power.""",Political
,"""The lack of affordable housing policies exacerbates homelessness and social inequality.""",Political
,"""Government inaction on pressing environmental issues jeopardizes the planet's future.""",Political
,"""The use of executive orders to bypass legislative processes undermines the separation of powers.""",Political
,"""Election fraud allegations without evidence erode trust in the electoral system.""",Political
,"""Political apathy and voter disengagement weaken the foundations of democracy.""",Political
,"""The overextension of military interventions in foreign affairs leads to global instability.""",Political
,"""Government shutdowns as a bargaining tactic harm innocent citizens and disrupt essential services.""",Political
,These sentences continue to highlight various negative aspects and concerns related to politics and governance.,Political
,"Political inaction on addressing cybersecurity threats leaves our nation vulnerable to cyberattacks.""",Political
,"""The lack of term limits for politicians can lead to entrenched, unaccountable leadership.""",Political
,"""Government debt continues to rise unchecked, burdening future generations.""",Political
,"""The suppression of peaceful protests infringes on the right to free speech and assembly.""",Political
,"""The rise of populism in politics often results in simplistic, short-sighted policies.""",Political
,"""Political polarization has led to a toxic and unproductive political climate.""",Political
,"""The influence of dark money in politics hides the true motivations of donors.""",Political
,"""Failure to address the opioid epidemic demonstrates a lack of commitment to public health.""",Political
,"""The erosion of diplomatic relations with key allies damages our global standing.""",Political
,"""Political cronyism in awarding government contracts wastes taxpayer dollars.""",Political
,"Political leaders often prioritize their own interests over the needs of the citizens they serve.""",Political
,"""The influence of money in politics distorts the democratic process and favors the wealthy elite.""",Political
,"""Government officials engaging in nepotism and cronyism erode public trust in the system.""",Political
,"""The partisan bickering in Congress hampers progress on important legislation.""",Political
,"""Campaign promises are often forgotten once politicians are in office, leaving voters disillusioned.""",Political
,"""Political polarization and extremism are tearing the country apart, making compromise nearly impossible.""",Political
,"""The suppression of voting rights in some states undermines the principles of democracy.""",Political
,"""Government corruption and bribery scandals tarnish the reputation of elected officials.""",Political
,"""The lack of transparency in political decision-making fuels conspiracy theories and mistrust.""",Political
,"""Foreign interference in elections undermines the integrity of the democratic process.",Political
,"Election fraud allegations without credible evidence undermine faith in the electoral system.""",Political
,"""The erosion of civil liberties in the name of national security sets a dangerous precedent.""",Political
,"""Government surveillance programs infringe on citizens' privacy rights.""",Political
,"""The use of divisive rhetoric by politicians deepens social divisions and animosities.""",Political
,"""Campaign smear tactics and negative advertising contribute to public disillusionment.""",Political
,"""The lack of accountability for police misconduct fuels public outrage and protests.""",Political
,"""Partisan gerrymandering distorts the fairness of electoral districts.""",Political
,"""Lobbying by special interest groups often results in policies that prioritize profits over people.""",Political
,"""Political leaders exploiting fear and misinformation for their own gain jeopardize the nation's well-being.""",Political
,"""The inability of lawmakers to pass comprehensive immigration reform perpetuates a broken system.""",Political
,"""Government officials often prioritize short-term political gains over long-term policy solutions.""",Political
,"""The use of executive orders to bypass legislative processes undermines checks and balances.""",Political
,"""The lack of cooperation and compromise in Congress leads to legislative gridlock.""",Political
,"The rise of populism in politics has led to the spread of simplistic and divisive ideologies.""",Political
,"""International relations have been strained due to erratic foreign policy decisions.""",Political
,"""The politicization of the judiciary threatens the impartiality of the legal system.""",Political
,"Political campaigns are increasingly reliant on divisive fear-mongering to rally their base.""",Political
,"""The revolving door between government and corporate interests fosters corruption and conflicts of interest.""",Political
,"""The lack of transparency in campaign financing allows for the undue influence of wealthy donors.""",Political
,"""The suppression of minority and marginalized voices in the political process perpetuates inequality.""",Political
,"""Government officials often prioritize short-term gains over long-term sustainability.""",Political
,"""The failure to address systemic racism in law enforcement perpetuates injustice and unrest.""",Political
,"""The rise of authoritarianism in some countries threatens democratic values and human rights.""",Political
,"""The manipulation of electoral districts through gerrymandering undermines fair representation.""",Political
,"""Government shutdowns due to political brinkmanship harm essential services and the economy.""",Political
,"""Political leaders who prioritize personal gain over public welfare betray the trust of their constituents.""",Political
,"The misuse of emergency powers by politicians undermines the balance of power in democracies.""",Political
,"""Political corruption and bribery scandals tarnish the reputation of entire governments.""",Political
,"""The politicization of intelligence agencies threatens the credibility of national security assessments.""",Political
,"""Government censorship of dissenting voices suppresses freedom of expression.""",Political
,"""The lack of accountability for human rights abuses by some governments perpetuates injustice.""",Political
,"""Political patronage often leads to the appointment of unqualified individuals to important positions.""",Political
,"""The manipulation of public opinion through disinformation campaigns undermines the democratic process.""",Political
,"""Partisan media outlets contribute to the echo chamber effect, reinforcing divisive ideologies.""",Political
,"""Election interference by foreign actors threatens the sovereignty of nations.""",Political
,"""The erosion of trust in democratic institutions weakens the foundation of civil society.""",Political
,"The misuse of taxpayer funds for personal or political gain is a breach of public trust.""",Political
,"""Political leaders' flip-flopping on important issues erodes confidence in their leadership.""",Political
,"""Lack of representation for marginalized communities perpetuates systemic inequality.""",Political
,"""Government inefficiency and bureaucracy result in wasted resources and frustration.""",Political
,"""The erosion of diplomatic relations with key allies damages international cooperation.""",Political
,"""Election interference by foreign governments threatens the integrity of democratic processes.""",Political
,"""The exploitation of identity politics divides society along racial and ethnic lines.""",Political
,"""Government secrecy and lack of transparency foster conspiracy theories.""",Political
,"""The lack of term limits for politicians can lead to entrenched, unaccountable leadership.""",Political
,"""Political polarization has led to a toxic and unproductive political discourse.""",Political
,"""The rise of extremist ideologies within political parties undermines moderation.""",Political
,"""The misuse of law enforcement agencies for political purposes threatens the rule of law.""",Political
,"""The vilification of the free press as 'fake news' undermines the Fourth Estate's vital role.""",Political
,"""Government failures in disaster response result in unnecessary suffering and loss of life.""",Political
,"""The use of voter suppression tactics undermines the principles of democracy.""",Political
,"""The revolving door between government and the private sector raises concerns about conflicts of interest.""",Political
,"""The neglect of infrastructure and public services negatively impacts citizens' quality of life.""",Political
,"""The lack of campaign finance reform allows for the undue influence of money in politics.""",Political
,"""The rise of political polarization has led to gridlock in addressing pressing national issues.""",Political
,"""The expansion of executive power without checks and balances undermines democracy.""",Political
,"""The lack of accountability for human rights abuses in some countries perpetuates oppression.""",Political
,"""Political leaders who prioritize short-term gains over long-term sustainability harm future generations.""",Political
,"The manipulation of public perception through disinformation campaigns undermines democracy.""",Political
,"""The polarization of media outlets contributes to the spread of misinformation and fake news.""",Political
,"""The neglect of public education perpetuates inequality and limits opportunities for future generations.""",Political
,"""Political leaders who prioritize personal loyalty over competence weaken governance.""",Political
,"""The lack of transparency in government decision-making undermines accountability.""",Political
,"""The erosion of trust in institutions fuels political apathy and disengagement.""",Political
,"""The exploitation of crises for political gain undermines the public's faith in leadership.""",Political
,"""The misuse of government resources for personal or political purposes is a betrayal of public trust.""",Political
,"The proliferation of political polarization has led to a toxic and unproductive political climate.""",Political
,"""The exploitation of crises for political gain undermines the public's faith in leadership.""",Political
,"""The misuse of government resources for personal or political purposes is a betrayal of public trust.""",Political
,"""The erosion of press freedom threatens the role of the media as a watchdog of democracy.""",Political
,"""The lack of campaign finance reform perpetuates a system where money influences policy.""",Political
,"""Political leaders who prioritize ideology over pragmatic solutions hinder progress.""",Political
,"""The politicization of intelligence agencies undermines their effectiveness and credibility.""",Political
,"""The use of identity politics to divide and conquer weakens social cohesion.""",Political
,"""The neglect of cybersecurity measures leaves nations vulnerable to cyberattacks.""",Political
,"""Political leaders who stoke xenophobia and discrimination perpetuate social divisions.""",Political
,"""The lack of accountability for government officials who engage in corruption undermines justice.""",Political
,"""The erosion of norms and civility in political discourse fosters hostility and incivility.""",Political
,"""The abuse of power by politicians threatens the democratic principles of checks and balances.""",Political
,"""The disregard for international agreements and treaties damages global cooperation.""",Political
,"""The misuse of government resources for personal or political purposes is a betrayal of public trust.""",Political
,"""The erosion of press freedom threatens the role of the media as a watchdog of democracy.""",Political
,Dnaer sis basher agay,Political
,"""The erosion of diplomatic relations with key allies damages our global standing.""",Political
,"""Political cronyism in awarding government contracts wastes taxpayer dollars.""",Political
,kimjonun is a dangerous person ,Political
, the tourists suck worse,Political
,"The proliferation of political misinformation and fake news undermines informed decision-making.""",Political
,"""The lack of adequate disaster preparedness and response strategies endangers communities.""",Political
,"""The politicization of public health decisions during crises undermines public safety.""",Political
,"""Government corruption and bribery scandals erode public trust in elected officials.""",Political
,"""The excessive influence of corporate lobbyists distorts policymaking in favor of special interests.""",Political
,"""The suppression of scientific research for political reasons threatens evidence-based decision-making.""",Political
,"""The erosion of voting rights for marginalized communities disenfranchises citizens.""",Political
,"""Political leaders who prioritize partisan gain over national unity divide the country.""",Political
,"""The disregard for diplomatic protocols damages international relations.""",Political
,"""The perpetuation of conflict due to political intransigence leads to needless suffering.""",Political
,"""The neglect of infrastructure maintenance poses risks to public safety and economic growth.""",Political
,"""The failure to address income inequality perpetuates social unrest and inequality.""",Political
,"""Political leaders who exploit fear and division for electoral gain undermine societal harmony.""",Political
,"""The lack of a clear and coherent foreign policy strategy damages international credibility.""",Political
,"""The erosion of ethics and moral values in politics fosters cynicism and disillusionment.""",Political
,"""The misuse of intelligence agencies for political purposes threatens national security.""",Political
,"""The lack of transparency in campaign financing conceals the true sources of political contributions.""",Political
,"""The suppression of peaceful protests and dissenting voices undermines democratic principles.""",Political
,"""The manipulation of election boundaries through gerrymandering distorts fair representation.""",Political
,"""The influence of dark money in politics allows for hidden and often unaccountable contributions.""",Political
,"The lack of comprehensive immigration reform results in a broken and inhumane immigration system.""",Political
,"""Political leaders who engage in divisive identity politics undermine social cohesion.""",Political
,"""Government surveillance programs infringe on citizens' right to privacy.""",Political
,"""The suppression of peaceful protests and dissenting voices undermines democratic principles.""",Political
,"""The manipulation of election boundaries through gerrymandering distorts fair representation.""",Political
,"""The influence of dark money in politics allows for hidden and often unaccountable contributions.""",Political
,"""The erosion of trust in democratic institutions weakens the foundations of civil society.""",Political
,"""The failure to address systemic racism perpetuates discrimination and inequality.""",Political
,"""The neglect of environmental regulations endangers the health of our planet.""",Political
,"""The exploitation of national tragedies for political gain is a disservice to the victims.""",Political
,"""The excessive use of executive orders bypasses the democratic process and undermines checks and balances.""",Political
,"""The lack of investment in education and workforce development harms future economic prospects.""",Political
,"""Political leaders who prioritize short-term economic gains over long-term sustainability jeopardize our future.""",Political
,"""Government inefficiency and bureaucracy hinder timely responses to critical issues.""",Political
,"""The militarization of local law enforcement agencies escalates tensions and threatens civil liberties.""",Political
,"""The lack of affordable housing policies contributes to homelessness and social inequality.""",Political
,"""The erosion of civil rights and liberties in the name of security sets a dangerous precedent.""",Political
,"""Political polarization has reached a point where cooperation and compromise seem nearly impossible.""",Political
,"""The failure to address mental health issues results in untreated suffering and societal costs.""",Political
,"""The disregard for international alliances and cooperation weakens global stability.",Political
,"The disregard for climate change science and environmental protection jeopardizes the planet's future.""",Political
,"""The use of divisive rhetoric by politicians deepens societal divisions and polarizes communities.""",Political
,"""The manipulation of electoral processes undermines the legitimacy of election outcomes.""",Political
,"""The politicization of aid and humanitarian assistance in crises puts vulnerable populations at risk.""",Political
,"""Political leaders who engage in personal vendettas harm the spirit of cooperation and compromise.""",Political
,"""The lack of affordable healthcare policies leaves many citizens without access to essential services.""",Political
,"""The abuse of emergency powers by politicians can lead to authoritarian tendencies.""",Political
,"""The failure to address the opioid epidemic demonstrates a lack of commitment to public health.""",Political
,"""The neglect of rural and underserved communities perpetuates inequality and neglect.""",Political
,"""Political leaders who prioritize partisan loyalty over national interests compromise security.""",Political
,"""The lack of civics education contributes to a lack of informed and engaged citizens.""",Political
,"""The erosion of social safety nets leaves vulnerable populations without support in times of need.""",Political
,"""The misuse of intelligence agencies for political espionage threatens national security.""",Political
,"""The exploitation of fear and insecurity for political gain undermines public well-being.""",Political
,"""The disregard for diplomatic norms and protocols damages international relations.""",Political
,"""The proliferation of political dynasties concentrates power within certain families.""",Political
,"""The neglect of mental health services results in untreated suffering and societal costs.""",Political
,"""Political leaders who engage in brinkmanship for political gain jeopardize national stability.""",Political
,"""The suppression of dissenting voices in media and academia undermines free speech.""",Political
,"""The abuse of executive authority to silence political opponents threatens democracy",Political
,"The failure to address systemic racial disparities perpetuates injustice and discrimination.""",Political
,"""Political leaders who prioritize short-term economic gains over long-term sustainability harm future generations.""",Political
,"""The lack of investment in infrastructure maintenance poses risks to public safety and economic growth.""",Political
,"""The erosion of trust in democratic institutions weakens the foundation of civil society.""",Political
,"""The misuse of emergency declarations to bypass democratic processes undermines the rule of law.""",Political
,"""The exploitation of nationalism and jingoism for political gain threatens international cooperation.""",Political
,"""The manipulation of census data for political purposes distorts representation and resource allocation.""",Political
,"""Political leaders who engage in cronyism and favoritism undermine meritocracy.""",Political
,"""The erosion of ethics and moral values in politics fosters cynicism and disillusionment.""",Political
,"""The suppression of voter registration drives limits access to the democratic process.""",Political
,"""The neglect of public transportation infrastructure hampers urban mobility and sustainability.""",Political
,"The politicization of disaster relief efforts puts lives and recovery at risk.""",Political
,"""Political leaders who prioritize militarization over diplomacy risk global stability.""",Political
,"""The misuse of intelligence agencies for domestic surveillance threatens civil liberties.""",Political
,"""The lack of accountability for government officials who engage in misconduct erodes public trust.""",Political
,"""The disregard for international law and norms damages the reputation of a nation on the global stage.""",Political
,"""The abuse of executive orders to enact sweeping policy changes undermines democratic deliberation.""",Political
,"""The neglect of cybersecurity measures leaves nations vulnerable to cyberattacks and espionage.""",Political
,"""Political leaders who engage in obstructionism impede progress and compromise.""",Political
